"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","OD1","REM","EQD"
"04301099999","2018-01-01T00:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","220,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0281,1","-0326,1","10137,1","99999,9,10132,1",,"SYN04204301 46/// /2212 11281 21326 30132 40137=",
"04301099999","2018-01-01T01:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","230,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0269,1","-0315,1","10136,1","99999,9,10131,1",,"SYN04204301 46/// /2309 11269 21315 30131 40136=",
"04301099999","2018-01-01T02:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","210,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0273,1","-0314,1","10130,1","99999,9,10125,1",,"SYN04204301 46/// /2107 11273 21314 30125 40130=",
"04301099999","2018-01-01T03:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0255,1","-0292,1","10126,1","99999,9,10121,1",,"SYN04204301 46/// /2705 11255 21292 30121 40126=",
"04301099999","2018-01-01T04:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","260,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0236,1","-0277,1","10121,1","99999,9,10116,1",,"SYN04204301 46/// /2609 11236 21277 30116 40121=",
"04301099999","2018-01-01T05:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","220,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0239,1","-0275,1","10117,1","99999,9,10112,1",,"SYN04204301 46/// /2206 11239 21275 30112 40117=",
"04301099999","2018-01-01T06:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","250,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0224,1","-0264,1","10112,1","99999,9,10107,1",,"SYN04204301 46/// /2506 11224 21264 30107 40112=",
"04301099999","2018-01-01T07:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","250,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0217,1","-0254,1","10108,1","99999,9,10103,1",,"SYN04204301 46/// /2508 11217 21254 30103 40108=",
"04301099999","2018-01-01T08:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0212,1","-0245,1","10107,1","99999,9,10102,1",,"SYN04204301 46/// /2710 11212 21245 30102 40107=",
"04301099999","2018-01-01T09:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","280,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0207,1","-0240,1","10103,1","99999,9,10098,1",,"SYN04204301 46/// /2813 11207 21240 30098 40103=",
"04301099999","2018-01-01T10:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","280,1,N,0093,1","99999,9,9,N","999999,9,9,9","-0207,1","-0237,1","10102,1","99999,9,10097,1",,"SYN04204301 46/// /2818 11207 21237 30097 40102=",
"04301099999","2018-01-01T11:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","280,1,N,0098,1","99999,9,9,N","999999,9,9,9","-0207,1","-0237,1","10100,1","99999,9,10095,1",,"SYN04204301 46/// /2819 11207 21237 30095 40100=",
"04301099999","2018-01-01T12:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0217,1","-0246,1","10099,1","99999,9,10094,1",,"SYN04204301 46/// /2715 11217 21246 30094 40099=",
"04301099999","2018-01-01T13:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","280,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0209,1","-0239,1","10096,1","99999,9,10091,1",,"SYN04204301 46/// /2815 11209 21239 30091 40096=",
